term,count_h1_2025_12_03,count_h2_2026_03_23,log_odds_difference,z_score
test,3,1,0.8853597743707748,0.7694950915389478
manage,3,1,0.8853597743707748,0.7694950915389478
right know,3,1,0.8853597743707748,0.7694950915389478
volunteer,3,1,0.8853597743707748,0.7694950915389478
faster,3,1,0.8853597743707748,0.7694950915389478
don need,3,1,0.8853597743707748,0.7694950915389478
answer questions,3,1,0.8853597743707748,0.7694950915389478
materials,3,1,0.8853597743707748,0.7694950915389478
doesn exist,3,1,0.8853597743707748,0.7694950915389478
schools libraries,3,1,0.8853597743707748,0.7694950915389478
does county,3,1,0.8853597743707748,0.7694950915389478
ve talked,3,1,0.8853597743707748,0.7694950915389478
isn just,3,1,0.8853597743707748,0.7694950915389478
piece,3,1,0.8853597743707748,0.7694950915389478
mayor,3,1,0.8853597743707748,0.7694950915389478
hey,3,1,0.8853597743707748,0.7694950915389478
interesting,3,1,0.8853597743707748,0.7694950915389478
rivers network,3,1,0.8853597743707748,0.7694950915389478
overall,3,1,0.8853597743707748,0.7694950915389478
assurances,3,1,0.8853597743707748,0.7694950915389478
diamond solar,3,1,0.8853597743707748,0.7694950915389478
individuals,3,1,0.8853597743707748,0.7694950915389478
sangamon growth,3,1,0.8853597743707748,0.7694950915389478
illinois just,3,1,0.8853597743707748,0.7694950915389478
proven,3,1,0.8853597743707748,0.7694950915389478
things wrong,3,1,0.8853597743707748,0.7694950915389478
operates,3,1,0.8853597743707748,0.7694950915389478
leak,3,1,0.8853597743707748,0.7694950915389478
important thing,3,1,0.8853597743707748,0.7694950915389478
turned,3,1,0.8853597743707748,0.7694950915389478
leaving,3,1,0.8853597743707748,0.7694950915389478
thousand,3,1,0.8853597743707748,0.7694950915389478
just little,3,1,0.8853597743707748,0.7694950915389478
need jobs,3,1,0.8853597743707748,0.7694950915389478
remarks,3,1,0.8853597743707748,0.7694950915389478
energy capacity,3,1,0.8853597743707748,0.7694950915389478
emergency generators,3,1,0.8853597743707748,0.7694950915389478
social,3,1,0.8853597743707748,0.7694950915389478
like thank,3,1,0.8853597743707748,0.7694950915389478
board meetings,3,1,0.8853597743707748,0.7694950915389478
local people,3,1,0.8853597743707748,0.7694950915389478
electric convenience,3,1,0.8853597743707748,0.7694950915389478
independent operator,3,1,0.8853597743707748,0.7694950915389478
unknowns,3,1,0.8853597743707748,0.7694950915389478
events,3,1,0.8853597743707748,0.7694950915389478
solid,3,1,0.8853597743707748,0.7694950915389478
cycle,3,1,0.8853597743707748,0.7694950915389478
water coming,3,1,0.8853597743707748,0.7694950915389478
result,3,1,0.8853597743707748,0.7694950915389478
like know,8,0,6.038382620344345,0.7520396497908506
clarify,8,0,6.038382620344345,0.7520396497908506
delivery,8,0,6.038382620344345,0.7520396497908506
transmission line,8,0,6.038382620344345,0.7520396497908506
developers,8,0,6.038382620344345,0.7520396497908506
existing zoning,8,0,6.038382620344345,0.7520396497908506
wholesale,8,0,6.038382620344345,0.7520396497908506
yes sir,8,0,6.038382620344345,0.7520396497908506
local,44,30,0.17431669187924737,0.7376068645461331
second,15,9,0.30147514173618983,0.7164668891985686
large,15,9,0.30147514173618983,0.7164668891985686
electric,15,9,0.30147514173618983,0.7164668891985686
economic engine,7,0,6.0226229987382,0.7071684398584926
highlight,7,0,6.0226229987382,0.7071684398584926
households,7,0,6.0226229987382,0.7071684398584926
engineering,7,0,6.0226229987382,0.7071684398584926
engine,7,0,6.0226229987382,0.7071684398584926
addressed,7,0,6.0226229987382,0.7071684398584926
add,7,0,6.0226229987382,0.7071684398584926
expanding,7,0,6.0226229987382,0.7071684398584926
success,7,0,6.0226229987382,0.7071684398584926
