segment,label,speaker,start,end
[ 03:28:42.884 -->  03:28:44.807],BI,SPEAKER_57,12522.884093750003,12524.80784375
[ 03:28:45.297 -->  03:28:49.330],BI,SPEAKER_57,12525.297218750002,12529.33034375
[ 03:28:50.714 -->  03:28:51.034],T,SPEAKER_11,12530.71409375,12531.034718750001
[ 03:28:51.034 -->  03:28:51.186],AI,SPEAKER_28,12531.034718750001,12531.18659375
[ 03:28:51.186 -->  03:28:51.220],T,SPEAKER_11,12531.18659375,12531.22034375
[ 03:28:54.122 -->  03:28:54.814],AI,SPEAKER_28,12534.12284375,12534.81471875
[ 03:28:54.308 -->  03:28:54.578],BI,SPEAKER_57,12534.308468750001,12534.578468750002
[ 03:28:55.050 -->  03:28:55.067],AI,SPEAKER_28,12535.050968750002,12535.067843750003
[ 03:28:55.759 -->  03:29:02.762],AI,SPEAKER_28,12535.75971875,12542.762843750003
[ 03:29:02.914 -->  03:29:10.542],AI,SPEAKER_28,12542.914718750002,12550.54221875
[ 03:29:13.191 -->  03:29:13.427],BS,SPEAKER_68,12553.191593750002,12553.42784375
[ 03:29:14.980 -->  03:29:15.267],CA,SPEAKER_76,12554.980343750001,12555.26721875
[ 03:29:15.267 -->  03:29:15.284],BM,SPEAKER_61,12555.26721875,12555.28409375
[ 03:29:15.807 -->  03:29:16.195],BS,SPEAKER_68,12555.80721875,12556.195343750001
[ 03:29:18.557 -->  03:29:24.497],BS,SPEAKER_68,12558.55784375,12564.49784375
[ 03:29:25.274 -->  03:29:27.670],BS,SPEAKER_68,12565.274093750002,12567.67034375
[ 03:29:28.294 -->  03:29:29.948],BS,SPEAKER_68,12568.29471875,12569.94846875
[ 03:29:33.255 -->  03:29:35.044],BS,SPEAKER_68,12573.25596875,12575.04471875
[ 03:29:35.787 -->  03:29:38.858],BS,SPEAKER_68,12575.78721875,12578.85846875
[ 03:29:39.162 -->  03:29:40.309],BS,SPEAKER_68,12579.16221875,12580.309718750003
[ 03:29:41.355 -->  03:29:43.904],BS,SPEAKER_68,12581.355968750002,12583.90409375
[ 03:29:44.832 -->  03:29:46.502],BS,SPEAKER_68,12584.832218750002,12586.50284375
[ 03:29:47.768 -->  03:29:50.265],BS,SPEAKER_68,12587.76846875,12590.265968750002
[ 03:29:50.485 -->  03:29:52.122],BS,SPEAKER_68,12590.485343750002,12592.122218750003
[ 03:29:52.864 -->  03:29:54.282],BS,SPEAKER_68,12592.864718750003,12594.282218750002
[ 03:29:55.193 -->  03:29:56.121],BS,SPEAKER_68,12595.19346875,12596.121593750002
[ 03:29:58.247 -->  03:30:05.318],BS,SPEAKER_68,12598.24784375,12605.31846875
[ 03:30:06.162 -->  03:30:08.052],BS,SPEAKER_68,12606.16221875,12608.052218750003
[ 03:30:08.490 -->  03:30:10.077],BS,SPEAKER_68,12608.49096875,12610.07721875
[ 03:30:11.174 -->  03:30:13.502],BS,SPEAKER_68,12611.17409375,12613.50284375
[ 03:30:13.806 -->  03:30:16.337],BS,SPEAKER_68,12613.80659375,12616.33784375
[ 03:30:17.434 -->  03:30:19.257],BS,SPEAKER_68,12617.434718750003,12619.25721875
[ 03:30:19.324 -->  03:30:20.370],BS,SPEAKER_68,12619.324718750002,12620.370968750001
[ 03:30:23.678 -->  03:30:26.800],BS,SPEAKER_68,12623.67846875,12626.800343750001
[ 03:30:27.812 -->  03:30:32.335],BS,SPEAKER_68,12627.812843750002,12632.33534375
[ 03:30:34.174 -->  03:30:34.714],BS,SPEAKER_68,12634.17471875,12634.714718750001
[ 03:30:39.220 -->  03:30:45.194],BS,SPEAKER_68,12639.22034375,12645.19409375
[ 03:30:44.468 -->  03:30:48.315],AI,SPEAKER_28,12644.468468750001,12648.315968750001
[ 03:30:48.906 -->  03:30:50.205],BS,SPEAKER_68,12648.906593750002,12650.20596875
[ 03:30:51.674 -->  03:30:55.116],AI,SPEAKER_28,12651.67409375,12655.11659375
[ 03:30:55.184 -->  03:30:57.293],AI,SPEAKER_28,12655.184093750002,12657.293468750002
[ 03:31:07.148 -->  03:31:09.038],T,SPEAKER_11,12667.148468750001,12669.03846875
[ 03:31:09.375 -->  03:31:09.983],BT,SPEAKER_69,12669.375968750002,12669.98346875
[ 03:31:10.169 -->  03:31:10.624],T,SPEAKER_11,12670.169093750003,12670.624718750001
[ 03:31:11.249 -->  03:31:11.822],BT,SPEAKER_69,12671.24909375,12671.82284375
[ 03:31:11.569 -->  03:31:11.620],T,SPEAKER_11,12671.56971875,12671.62034375
[ 03:31:12.143 -->  03:31:12.649],T,SPEAKER_11,12672.14346875,12672.649718750003
[ 03:31:12.649 -->  03:31:12.683],BT,SPEAKER_69,12672.649718750003,12672.683468750001
[ 03:31:12.953 -->  03:31:13.594],BT,SPEAKER_69,12672.953468750002,12673.594718750002
[ 03:31:13.830 -->  03:31:15.670],T,SPEAKER_11,12673.83096875,12675.67034375
[ 03:31:15.096 -->  03:31:15.737],BT,SPEAKER_69,12675.09659375,12675.737843750001
[ 03:31:15.822 -->  03:31:16.210],T,SPEAKER_11,12675.82221875,12676.21034375
[ 03:31:16.902 -->  03:31:17.374],BT,SPEAKER_69,12676.902218750001,12677.374718750001
[ 03:31:17.594 -->  03:31:17.999],T,SPEAKER_11,12677.594093750002,12677.99909375
[ 03:31:20.159 -->  03:31:20.749],BT,SPEAKER_69,12680.15909375,12680.749718750001
[ 03:31:20.952 -->  03:31:21.357],T,SPEAKER_11,12680.95221875,12681.35721875
[ 03:31:23.837 -->  03:31:24.310],BT,SPEAKER_69,12683.83784375,12684.31034375
[ 03:31:24.614 -->  03:31:24.647],AH,SPEAKER_27,12684.614093750002,12684.64784375
[ 03:31:24.647 -->  03:31:25.002],AE,SPEAKER_24,12684.64784375,12685.00221875
[ 03:31:25.930 -->  03:31:26.689],BT,SPEAKER_69,12685.930343750002,12686.68971875
[ 03:31:26.925 -->  03:31:27.280],AE,SPEAKER_24,12686.925968750002,12687.28034375
[ 03:31:28.005 -->  03:31:28.596],BT,SPEAKER_69,12688.00596875,12688.59659375
[ 03:31:28.866 -->  03:31:29.237],AE,SPEAKER_24,12688.86659375,12689.237843750001
[ 03:31:29.845 -->  03:31:30.385],BT,SPEAKER_69,12689.84534375,12690.38534375
[ 03:31:30.469 -->  03:31:30.857],AE,SPEAKER_24,12690.469718750002,12690.85784375
[ 03:31:30.857 -->  03:31:30.874],BM,SPEAKER_61,12690.85784375,12690.874718750001
[ 03:31:33.270 -->  03:31:33.895],BT,SPEAKER_69,12693.270968750003,12693.895343750002
[ 03:31:34.080 -->  03:31:34.334],BM,SPEAKER_61,12694.08096875,12694.33409375
[ 03:31:35.346 -->  03:31:35.835],BT,SPEAKER_69,12695.34659375,12695.835968750001
[ 03:31:36.072 -->  03:31:36.477],BM,SPEAKER_61,12696.07221875,12696.477218750002
[ 03:31:37.371 -->  03:31:37.793],BT,SPEAKER_69,12697.371593750002,12697.793468750002
[ 03:31:38.181 -->  03:31:38.637],BM,SPEAKER_61,12698.18159375,12698.637218750002
[ 03:31:39.413 -->  03:31:39.919],BT,SPEAKER_69,12699.41346875,12699.91971875
[ 03:31:41.050 -->  03:31:41.539],BT,SPEAKER_69,12701.050343750001,12701.539718750002
[ 03:31:44.003 -->  03:31:44.459],BT,SPEAKER_69,12704.003468750001,12704.45909375
[ 03:31:50.854 -->  03:31:51.377],BT,SPEAKER_69,12710.85471875,12711.37784375
[ 03:31:51.445 -->  03:31:51.833],Q,SPEAKER_08,12711.445343750001,12711.833468750003
[ 03:31:54.246 -->  03:31:54.786],BT,SPEAKER_69,12714.246593750002,12714.786593750003
