segment,label,speaker,start,end
[ 02:23:02.909 -->  02:23:05.406],I,SPEAKER_46,8582.90909375,8585.406593750002
[ 02:23:05.997 -->  02:23:07.347],I,SPEAKER_46,8585.997218750003,8587.347218750001
[ 02:23:07.600 -->  02:23:09.405],I,SPEAKER_46,8587.60034375,8589.405968750001
[ 02:23:09.608 -->  02:23:10.418],I,SPEAKER_46,8589.60846875,8590.418468750002
[ 02:23:10.823 -->  02:23:12.072],I,SPEAKER_46,8590.82346875,8592.07221875
[ 02:23:12.645 -->  02:23:14.839],I,SPEAKER_46,8592.64596875,8594.839718750001
[ 02:23:15.160 -->  02:23:16.307],I,SPEAKER_46,8595.160343750002,8596.30784375
[ 02:23:16.898 -->  02:23:18.265],I,SPEAKER_46,8596.898468750001,8598.265343750001
[ 02:23:18.771 -->  02:23:22.095],I,SPEAKER_46,8598.77159375,8602.09596875
[ 02:23:22.602 -->  02:23:25.065],I,SPEAKER_46,8602.602218750002,8605.065968750001
[ 02:23:25.200 -->  02:23:27.310],I,SPEAKER_46,8605.20096875,8607.31034375
[ 02:23:27.850 -->  02:23:31.815],I,SPEAKER_46,8607.85034375,8611.815968750001
[ 02:23:32.220 -->  02:23:33.570],I,SPEAKER_46,8612.22096875,8613.570968750002
[ 02:23:34.313 -->  02:23:34.752],I,SPEAKER_46,8614.313468750002,8614.75221875
[ 02:23:35.258 -->  02:23:37.097],I,SPEAKER_46,8615.258468750002,8617.097843750002
[ 02:23:37.604 -->  02:23:50.226],I,SPEAKER_46,8617.60409375,8630.226593750001
[ 02:23:45.636 -->  02:23:45.788],AB,SPEAKER_20,8625.636593750001,8625.78846875
[ 02:23:50.682 -->  02:23:51.509],I,SPEAKER_46,8630.68221875,8631.509093750003
[ 02:23:51.795 -->  02:23:55.913],I,SPEAKER_46,8631.79596875,8635.91346875
[ 02:23:56.082 -->  02:23:59.879],I,SPEAKER_46,8636.082218750002,8639.879093750002
[ 02:24:00.570 -->  02:24:02.511],I,SPEAKER_46,8640.570968750002,8642.511593750001
[ 02:24:02.815 -->  02:24:06.021],I,SPEAKER_46,8642.81534375,8646.02159375
[ 02:24:06.392 -->  02:24:29.545],I,SPEAKER_46,8646.39284375,8669.54534375
[ 02:24:30.422 -->  02:24:30.675],X,SPEAKER_16,8670.422843750002,8670.675968750002
[ 02:24:30.743 -->  02:24:31.047],X,SPEAKER_16,8670.743468750003,8671.047218750002
[ 02:24:31.182 -->  02:24:35.299],X,SPEAKER_16,8671.18221875,8675.29971875
[ 02:24:32.127 -->  02:24:32.599],AF,SPEAKER_25,8672.12721875,8672.59971875
[ 02:24:36.464 -->  02:24:37.054],AF,SPEAKER_25,8676.46409375,8677.054718750001
[ 02:24:40.142 -->  02:24:47.466],AF,SPEAKER_25,8680.14284375,8687.46659375
[ 02:24:47.685 -->  02:24:49.407],AF,SPEAKER_25,8687.68596875,8689.407218750002
[ 02:24:51.786 -->  02:24:56.410],W,SPEAKER_15,8691.78659375,8696.410343750002
[ 02:24:56.747 -->  02:24:58.688],W,SPEAKER_15,8696.74784375,8698.688468750002
[ 02:24:58.874 -->  02:24:59.650],W,SPEAKER_15,8698.87409375,8699.65034375
[ 02:25:00.139 -->  02:25:01.725],W,SPEAKER_15,8700.13971875,8701.72596875
[ 02:25:01.776 -->  02:25:02.822],W,SPEAKER_15,8701.77659375,8702.82284375
[ 02:25:03.227 -->  02:25:06.518],W,SPEAKER_15,8703.227843750003,8706.51846875
[ 02:25:07.075 -->  02:25:07.885],W,SPEAKER_15,8707.075343750003,8707.88534375
[ 02:25:08.290 -->  02:25:10.129],W,SPEAKER_15,8708.290343750003,8710.129718750002
[ 02:25:10.315 -->  02:25:11.614],W,SPEAKER_15,8710.31534375,8711.61471875
[ 02:25:12.745 -->  02:25:14.129],W,SPEAKER_15,8712.74534375,8714.129093750002
[ 02:25:14.550 -->  02:25:15.732],W,SPEAKER_15,8714.550968750002,8715.73221875
[ 02:25:17.402 -->  02:25:20.271],W,SPEAKER_15,8717.402843750002,8720.27159375
[ 02:25:20.440 -->  02:25:21.368],W,SPEAKER_15,8720.44034375,8721.368468750003
[ 02:25:21.840 -->  02:25:23.697],W,SPEAKER_15,8721.840968750003,8723.69721875
[ 02:25:24.119 -->  02:25:28.827],W,SPEAKER_15,8724.11909375,8728.82721875
[ 02:25:29.384 -->  02:25:32.117],W,SPEAKER_15,8729.384093750003,8732.117843750002
[ 02:25:32.691 -->  02:25:33.805],W,SPEAKER_15,8732.691593750002,8733.805343750002
[ 02:25:34.193 -->  02:25:38.327],W,SPEAKER_15,8734.19346875,8738.327843750001
[ 02:25:38.985 -->  02:25:44.909],W,SPEAKER_15,8738.98596875,8744.90909375
[ 02:25:45.195 -->  02:25:47.929],W,SPEAKER_15,8745.195968750002,8747.929718750001
[ 02:25:48.520 -->  02:25:48.908],W,SPEAKER_15,8748.520343750002,8748.90846875
[ 02:25:49.920 -->  02:25:52.435],W,SPEAKER_15,8749.92096875,8752.43534375
[ 02:25:52.890 -->  02:25:54.595],W,SPEAKER_15,8752.890968750002,8754.59534375
[ 02:25:54.730 -->  02:25:57.109],W,SPEAKER_15,8754.730343750001,8757.109718750002
[ 02:25:57.599 -->  02:25:59.050],W,SPEAKER_15,8757.59909375,8759.050343750001
[ 02:26:00.029 -->  02:26:05.783],W,SPEAKER_15,8760.02909375,8765.78346875
[ 02:26:06.458 -->  02:26:10.491],W,SPEAKER_15,8766.45846875,8770.49159375
[ 02:26:11.149 -->  02:26:14.069],W,SPEAKER_15,8771.149718750003,8774.06909375
[ 02:26:15.081 -->  02:26:16.532],W,SPEAKER_15,8775.081593750001,8776.53284375
[ 02:26:17.258 -->  02:26:19.452],W,SPEAKER_15,8777.258468750002,8779.45221875
[ 02:26:20.025 -->  02:26:20.852],W,SPEAKER_15,8780.02596875,8780.852843750003
[ 02:26:21.055 -->  02:26:24.143],W,SPEAKER_15,8781.055343750002,8784.14346875
[ 02:26:24.615 -->  02:26:25.965],W,SPEAKER_15,8784.61596875,8785.965968750003
[ 02:26:26.455 -->  02:26:28.125],W,SPEAKER_15,8786.45534375,8788.125968750002
[ 02:26:28.615 -->  02:26:29.509],W,SPEAKER_15,8788.61534375,8789.50971875
[ 02:26:30.269 -->  02:26:30.724],W,SPEAKER_15,8790.269093750001,8790.72471875
[ 02:26:31.095 -->  02:26:31.889],W,SPEAKER_15,8791.09596875,8791.88909375
[ 02:26:32.344 -->  02:26:32.867],W,SPEAKER_15,8792.344718750002,8792.867843750002
[ 02:26:33.930 -->  02:26:34.808],W,SPEAKER_15,8793.930968750003,8794.808468750001
[ 02:26:35.331 -->  02:26:39.364],W,SPEAKER_15,8795.331593750001,8799.36471875
[ 02:26:39.651 -->  02:26:41.001],W,SPEAKER_15,8799.65159375,8801.00159375
[ 02:26:41.710 -->  02:26:48.038],W,SPEAKER_15,8801.71034375,8808.03846875
[ 02:26:48.662 -->  02:26:52.257],W,SPEAKER_15,8808.66284375,8812.25721875
[ 02:26:53.100 -->  02:26:56.357],W,SPEAKER_15,8813.10096875,8816.35784375
[ 02:26:56.847 -->  02:26:58.787],W,SPEAKER_15,8816.847218750001,8818.78784375
[ 02:26:59.884 -->  02:27:02.635],W,SPEAKER_15,8819.88471875,8822.63534375
[ 02:27:03.259 -->  02:27:07.478],W,SPEAKER_15,8823.25971875,8827.47846875
[ 02:27:07.883 -->  02:27:08.642],W,SPEAKER_15,8827.883468750002,8828.64284375
[ 02:27:10.515 -->  02:27:12.591],W,SPEAKER_15,8830.515968750002,8832.59159375
[ 02:27:13.148 -->  02:27:15.561],W,SPEAKER_15,8833.148468750001,8835.56159375
[ 02:27:15.966 -->  02:27:16.658],W,SPEAKER_15,8835.96659375,8836.65846875
[ 02:27:17.569 -->  02:27:19.915],W,SPEAKER_15,8837.56971875,8839.915343750003
