hearing_id,document_id,unit_type,start_timestamp,speaker_name,speaker_role,n_words,duration_seconds,category,category_label,seed_hit_count,seed_hit_any,tfidf_similarity
h1_2025_12_03,h1_2025_12_03_t00176,comment,01:49:20.628,Unknown speaker,official,201,80.82600000000002,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00177,comment,01:50:41.654,Unknown speaker,official,27,10.695999999999913,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00185,comment,01:52:36.715,Unknown speaker,official,25,11.590000000000146,land_use,Land use,0,False,0.0060329604460367964
h1_2025_12_03,h1_2025_12_03_t00190,comment,01:53:01.555,Unknown speaker,official,74,28.305999999999585,land_use,Land use,1,True,0.01884638976286131
h1_2025_12_03,h1_2025_12_03_t00191,comment,01:53:30.622,Unknown speaker,public,106,29.59099999999944,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00192,comment,01:54:00.592,Unknown speaker,official,162,61.44000000000051,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00193,comment,01:55:03.472,Unknown speaker,public,41,19.54399999999987,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00194,comment,01:55:29.248,Unknown speaker,public,88,27.347999999999956,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00195,comment,01:55:59.386,Unknown speaker,public,69,21.14799999999923,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00198,comment,01:56:34.759,Unknown speaker,official,57,19.01000000000022,land_use,Land use,1,True,0.01986840510360507
h1_2025_12_03,h1_2025_12_03_t00200,comment,01:56:56.668,Unknown speaker,public,116,45.98000000000047,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00202,comment,01:57:47.329,Unknown speaker,official,19,6.082000000000335,land_use,Land use,0,False,0.006873684001547784
h1_2025_12_03,h1_2025_12_03_t00203,comment,01:57:56.748,Unknown speaker,official,18,4.863000000000284,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00205,comment,01:58:05.254,Unknown speaker,official,22,10.886999999999716,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00206,comment,01:58:18.202,Unknown speaker,public,22,10.20299999999952,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00210,comment,01:58:42.514,Unknown speaker,public,47,14.963999999999942,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00211,comment,01:58:58.418,Unknown speaker,official,27,9.846000000000458,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00212,comment,01:59:09.284,Unknown speaker,public,21,6.444000000000415,land_use,Land use,0,False,0.0
h1_2025_12_03,h1_2025_12_03_t00214,comment,01:59:21.152,Unknown speaker,public,41,18.853000000000065,land_use,Land use,0,False,0.0
